x y z lineage
60 60 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330-793346
59 61 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330-793346-793401-793419-793443-793444-793445-793523
59 60 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793335-793336-793355-793403-793422
58 58 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330-793346
59 62 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330-793346
59 57 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330-793346-793401-793419-793443-793444-793445-793523
58 59 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330-793346
59 59 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330-793346
58 57 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330-793346-793401-793419-793443-793444-793445-793523
58 60 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330-793347-793360-793361
61 62 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330-793346
61 60 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330-793346-793401-793419-793443-793444-793445-793523
57 58 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330-793346-793401-793419-793443-793444-793445-793523
60 59 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330-793335-793336-793355-793403-793422
61 59 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330-793346
63 60 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330-793346
61 58 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330-793346-793401-793419-793443-793444-793445-793523
59 58 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330-793346-793401-793419-793443-793444-793445-793523
57 62 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330
61 61 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330-793346-793401-793419-793443-793444-793445-793523
62 60 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330-793346
62 59 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330
62 61 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330-793346-793401-793419-793443-793444-793445-793523
57 60 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330-793347-793360-793361
58 62 60 8-9-119-172-269-270-334-373-678-726-727-728-833-957-1512-1712-3328-3393-4665-5536-5642-7583-8154-9332-9333-10338-10339-12740-13532-13768-14736-15187-15517-16138-16139-18287-20341-20342-20981-21259-21260-22955-27842-28760-29060-29061-30045-117452-117453-118250-118962-118963-118964-197504-197698-198249-198250-198502-199111-199543-199544-199545-200211-793330-793346-793401-793419-793443-793444-793445
